sample,total,trimmed-total,trimmed-pe,trimmed-orphans,merged,cluster_thres,clusters_total,clusters_min_cov,cluster_above_thres,queries
BIO019,1772,1661,1594,67,1444,0.97,94,3,26,637
BIO020,2,1,0,1,0,0.97,0,3,0,0
BIO021,28,26,24,2,24,0.97,11,3,0,0
BIO022,4,2,2,0,2,0.97,1,3,0,0
BIO023,93938,86711,81544,5167,72912,0.97,725,3,219,35246
BIO024,34318,32253,30906,1347,28046,0.97,1398,3,429,12339
BIO025,0,0,0,0,0,0.97,0,3,0,0
BIO026,4946,4599,4374,225,3900,0.97,139,3,33,1808
BIO043,1170,1066,1006,60,896,0.97,121,3,33,329
BIO044,0,0,0,0,0,0.97,0,3,0,0
BIO045,4556,4328,4178,150,3898,0.97,170,3,49,1796
BIO046,16972,15977,15274,703,13910,0.97,456,3,160,6341
BIO047,2,1,0,1,0,0.97,0,3,0,0
BIO048,28730,27439,26600,839,24940,0.97,346,3,151,12158
BIO049,0,0,0,0,0,0.97,0,3,0,0
BIO050,19554,18475,17768,707,16348,0.97,685,3,268,7582
BLANK-1,3268,514,416,98,350,0.97,23,3,8,159
BLANK-2,18662,6779,5874,905,3220,0.97,7,3,5,1605
BLANK-3,5638,131,10,121,0,0.97,0,3,0,0
Brathay,2284,2052,1922,130,1282,0.97,148,3,45,397
Clun,4792,4270,4024,246,2928,0.97,153,3,27,1086
Esk,3888,3554,3308,246,2398,0.97,182,3,37,840
INV001D,6644,6186,5906,280,5302,0.97,71,3,29,2602
INV002D,9678,8849,8272,577,7474,0.97,57,3,12,3681
INV003D,12642,10668,10170,498,9228,0.97,34,3,21,4590
INV004D,4504,4167,3926,241,3586,0.97,75,3,28,1736
INV005,15588,13768,12734,1034,10688,0.97,5,3,3,5332
INV006,7034,6628,6370,258,5890,0.97,70,3,20,2888
INV007D,4768,4464,4260,204,3782,0.97,63,3,16,1835
INV008D,5186,4739,4454,285,4028,0.97,58,3,18,1967
INV009D,12004,10756,10008,748,8440,0.97,111,3,37,4116
INV010,66006,61071,57882,3189,53122,0.97,15,3,8,26531
INV011,13284,12204,11592,612,10780,0.97,111,3,33,5301
INV012,4,4,4,0,4,0.97,2,3,0,0
INV013,18026,16781,15956,825,14854,0.97,248,3,56,7188
INV014D,15840,5273,4642,631,4026,0.97,10,3,7,2008
INV015,5712,5125,4850,275,4422,0.97,52,3,22,2175
INV016,5242,4757,4530,227,4176,0.97,28,3,10,2063
INV017,2826,2659,2562,97,2386,0.97,13,3,5,1180
INV018,15074,14400,13992,408,13240,0.97,28,3,16,6601
INV019,4112,3870,3708,162,3470,0.97,45,3,12,1697
INV020,16172,15382,14892,490,14114,0.97,82,3,40,6992
INV021,12880,11680,11078,602,10138,0.97,47,3,20,4982
INV022,4,0,0,0,0,0.97,0,3,0,0
INV023,2520,2345,2248,97,2100,0.97,8,3,4,1046
INV024,9648,9007,8612,395,7880,0.97,127,3,33,3830
INV025,5446,4965,4720,245,4284,0.97,27,3,13,2126
INV026,4118,3893,3768,125,3476,0.97,16,3,4,1724
INV027,5586,5050,4708,342,4166,0.97,22,3,10,2063
INV028,2242,2004,1850,154,1602,0.97,16,3,7,791
INV029,6562,5962,5524,438,4814,0.97,3,3,1,2404
INV030,6806,6157,5726,431,4658,0.97,12,3,3,2316
