sequence id	species	Genbank accession	reference
Gammarus balcanicus	Gammarus balcanicus	JF965914.1	Hou et al. (2011)
Gammarus glabratus	Gammarus glabratus	EF570307.1	Hou et al. 2009
Gammarus roeselii	Gammarus roeselii	JF965952.1	Hou et al. (2011)
Gammarus tigrinus	Gammarus tigrinus	FJ581688.1	Radulovici et al. (2009)
Gf_BF_N1	Gammarus fossarum	KF521829.1	Weiss et al. (2013)
Gf_BF_N2	Gammarus fossarum	KF521828.1	Weiss et al. (2013)
Gf_BF_N3	Gammarus fossarum	KF521827.1	Weiss et al. (2013)
Gf_BF_S1	Gammarus fossarum	KF521832.1	Weiss et al. (2013)
Gf_BF_S2	Gammarus fossarum	KF521831.1	Weiss et al. (2013)
Gf_BF_S3	Gammarus fossarum	KF521830.1	Weiss et al. (2013)
Gf_Cro5_01	Gammarus fossarum	KF521806.1	Weiss et al. (2013)
Gf_Cro5_02	Gammarus fossarum	KF521805.1	Weiss et al. (2013)
Gf_Cro8_01	Gammarus fossarum	KF521804.1	Weiss et al. (2013)
Gf_Cro8_02	Gammarus fossarum	KF521803.1	Weiss et al. (2013)
Gf_Cro8_03	Gammarus fossarum	KF521802.1	Weiss et al. (2013)
Gf_Ger6_01	Gammarus fossarum	KF521822.1	Weiss et al. (2013)
Gf_Ger6_02	Gammarus fossarum	KF521821.1	Weiss et al. (2013)
Gf_Ger6_03	Gammarus fossarum	KF521820.1	Weiss et al. (2013)
Gf_Rom_1BAF	Gammarus fossarum	KR061776.1	Copilas-Ciocianu & Petrusek (2015)
Gf_Rom_1BH15	Gammarus fossarum	KR061778.1	Copilas-Ciocianu & Petrusek (2015)
Gf_Rom_1BI11	Gammarus fossarum	KR061781.1	Copilas-Ciocianu & Petrusek (2015)
Gf_Rom_1BOC	Gammarus fossarum	KR061784.1	Copilas-Ciocianu & Petrusek (2015)
Gf_Rom_1BOG	Gammarus fossarum	KR061785.1	Copilas-Ciocianu & Petrusek (2015)
Gf_Rom_1C16	Gammarus fossarum	KR061788.1	Copilas-Ciocianu & Petrusek (2015)
Gf_Rom_1CA1V	Gammarus fossarum	KR061789.1	Copilas-Ciocianu & Petrusek (2015)
Gf_Rom_1CS101	Gammarus fossarum	KR061792.1	Copilas-Ciocianu & Petrusek (2015)
Gf_Rom_1CS102	Gammarus fossarum	KR061795.1	Copilas-Ciocianu & Petrusek (2015)
Gf_Rom_1CS12	Gammarus fossarum	KR061797.1	Copilas-Ciocianu & Petrusek (2015)
Gf_Rom_1CS15	Gammarus fossarum	KR061800.1	Copilas-Ciocianu & Petrusek (2015)
Gf_Rom_1CS17	Gammarus fossarum	KR061802.1	Copilas-Ciocianu & Petrusek (2015)
Gf_Rom_1DO2	Gammarus fossarum	KR061805.1	Copilas-Ciocianu & Petrusek (2015)
Gf_Rom_1GO25	Gammarus fossarum	KR061842.1	Copilas-Ciocianu & Petrusek (2015)
Gf_Rom_1GO4A	Gammarus fossarum	KR061808.1	Copilas-Ciocianu & Petrusek (2015)
Gf_Rom_1GO4B	Gammarus fossarum	KR061810.1	Copilas-Ciocianu & Petrusek (2015)
Gf_Rom_1LO2	Gammarus fossarum	KR061812.1	Copilas-Ciocianu & Petrusek (2015)
Gf_Rom_1MON	Gammarus fossarum	KR061813.1	Copilas-Ciocianu & Petrusek (2015)
Gf_Rom_1NE3	Gammarus fossarum	KR061815.1	Copilas-Ciocianu & Petrusek (2015)
Gf_Rom_1PC6	Gammarus fossarum	KR061817.1	Copilas-Ciocianu & Petrusek (2015)
Gf_Rom_1PL7	Gammarus fossarum	KR061838.1	Copilas-Ciocianu & Petrusek (2015)
Gf_Rom_1PLO	Gammarus fossarum	KR061840.1	Copilas-Ciocianu & Petrusek (2015)
Gf_Rom_1PM2	Gammarus fossarum	KR061843.1	Copilas-Ciocianu & Petrusek (2015)
Gf_Rom_1RE04	Gammarus fossarum	KR061820.1	Copilas-Ciocianu & Petrusek (2015)
Gf_Rom_1RE05	Gammarus fossarum	KR061823.1	Copilas-Ciocianu & Petrusek (2015)
